,Store ID,Name,Brand,Store Number,Phone Number,Ownership Type,Street Combined,Street 1,Street 2,Street 3,City,State,Country,Postal Code,Coordinates,Latitude,Longitude,Timezone,Current Timezone Offset,Olson Timezone,First Seen,Mon,Tue,Wed,Thu,Fri,Sat,Sun
18310,1006687,Church Street,Starbucks,21743-215051,,JV,"Ground Floor, Prestige RR Building, 55 and 51/1 Church Street","Ground Floor, Prestige RR Building",55 and 51/1 Church Street,,Bangalore,MH,IN,560001,"(12.9745054244995, 77.6073150634766)",12.97450542,77.60731506,India Standard Time,330,GMT+05:30 Asia/New_Delhi,02/13/2014 05:00:00 AM,300,126,347,335,491,595,449
18311,1006696,Malleswaram - Orion Mall,Starbucks,21816-215552,,JV,"Grd Flr Orion Mall, Brigade Gateway, Dr Rajkumar Road, Malleswaram","Grd Flr Orion Mall, Brigade Gateway","Dr Rajkumar Road, Malleswaram",,Bangalore,KA,IN,560055,"(13.0111875534058, 77.5551528930664)",13.01118755,77.55515289,India Standard Time,330,GMT+05:30 Asia/New_Delhi,02/13/2014 05:00:00 AM,384,108,388,322,519,500,361
18312,1006697,Kandivali West,Starbucks,21818-215805,,JV,"Ground Floor, V Souk, Sector 10, Mahavir Nagar, Kandivali (West)","Ground Floor, V Souk, Sector 10","Mahavir Nagar, Kandivali (West)",,Mumbai,MH,IN,400067,"(19.213062286377, 72.8423843383789)",19.21306229,72.84238434,India Standard Time,330,GMT+05:30 Asia/New_Delhi,02/13/2014 05:00:00 AM,270,178,393,421,464,568,410
18473,1006951,Indiranagar,Starbucks,22449-221247,,JV,"Grd Flr, Samrat Bldg, HAL II Stage, 100 ft Rd, Indiranagar","Grd Flr, Samrat Bldg, HAL II Stage","100 ft Rd, Indiranagar",,Bangalore,KA,IN,560038,"(12.9655141830444, 77.6417007446289)",12.96551418,77.64170074,India Standard Time,330,GMT+05:30 Asia/New_Delhi,03/19/2014 04:00:00 AM,322,114,346,278,503,503,368
18483,1008301,Magarpatta,Starbucks,21828-215807,,JV,"First Floor, Seasons Mall, Magarpatta City, Hadapsar","First Floor, Seasons Mall","Magarpatta City, Hadapsar",,Pune,MH,IN,411028,"(18.5192337036133, 73.9313888549805)",18.5192337,73.93138885,India Standard Time,330,GMT+05:30 Asia/New_Delhi,03/19/2014 04:00:00 AM,267,189,373,309,509,515,425
18487,1008429,Benniganahalli,Starbucks,22445-221246,,JV,"Ground Floor, RMZ Infinity, The Bay, #3 Old Madras Road, Benniganahalli","Ground Floor, RMZ Infinity, The Bay","#3 Old Madras Road, Benniganahalli",,Bangalore,KA,IN,560016,"(12.9942188262939, 77.6610717773438)",12.99421883,77.66107178,India Standard Time,330,GMT+05:30 Asia/New_Delhi,03/19/2014 04:00:00 AM,381,141,319,323,546,523,358
18488,1008457,Connaught Place - N Block,Starbucks,22570-222670,,JV,"N 16, N Block, Outer Circle, Connaught Place","N 16, N Block","Outer Circle, Connaught Place",,New Delhi,DL,IN,110001,"(28.6303424835205, 77.220588684082)",28.63034248,77.22058868,India Standard Time,330,GMT+05:30 Asia/New_Delhi,03/19/2014 04:00:00 AM,338,176,342,291,457,579,420
18611,1006821,Vashi,Starbucks,22047-217305,,JV,"Ground Floor, Inorbit Mall, Sector 30A, Vashi","Ground Floor, Inorbit Mall","Sector 30A, Vashi",,Navi Mumbai,MH,IN,400705,"(19.0657520294189, 73.0009689331055)",19.06575203,73.00096893,India Standard Time,330,GMT+05:30 Asia/New_Delhi,05-03-2014 04:00,309,150,252,446,502,501,377
18615,1006848,HUDA Metro Station,Starbucks,22446-221249,,JV,"Ground Floor, South Wing, HUDA Metro Station","Ground Floor, South Wing",HUDA Metro Station,,Gurgaon,DL,IN,122009,"(28.4593467712402, 77.0725860595703)",28.45934677,77.07258606,India Standard Time,330,GMT+05:30 Asia/New_Delhi,05-03-2014 04:00,263,162,397,432,509,591,427
18655,1006796,Kamla Nagar,Starbucks,21602-213484,,JV,"First Floor, Spark Mall, Kamla Nagar","First Floor, Spark Mall",Kamla Nagar,,New Delhi,MH,IN,110017,"(28.6808547973633, 77.2039413452148)",28.6808548,77.20394135,India Standard Time,330,GMT+05:30 Asia/New_Delhi,05/23/2014 04:00:00 AM,258,195,396,320,454,531,444
